"State_Abbrev","profit_type","year","count_tx","State_Name","pop_thousands","percapita_health_spending","medicaid_enrollment","medicaid_enroll_percapita","cocaine_yr","marijuana_month","aud_yr","heroin_yr","binge_drinking","illicit_druguse","needing_tx","sud","start_year","percapita_health_spending_thousands","pop_millions","prev2years_bingedrinking","prev2years_druguse","prev2years_sud","prev2years_needingtx","prev2years_aud","prev2years_marijuana","druguse_calc","prev2years_drugusecalc","prev2years_cocaine","prev2years_heroin","tx_percapita"
"AK","Government","2015",21,"Alaska",738,11460,127,0.172086720867209,2.1469,14.7986,7.9877,1.361,NA,NA,NA,NA,"2014",11.46,0.738,NA,NA,NA,NA,7.2493,12.1601,1.75395,1.2113,1.6532,0.7694,2.84552845528455e-05
"AK","Government","2016",26,"Alaska",743,11761,167,0.224764468371467,2.2623,16.6644,7.2969,0.8188,27.1402,3.8598,9.115,9.7238,"2015",11.761,0.743,NA,NA,NA,NA,7.9877,14.7986,1.54055,1.75395,2.1469,1.361,3.49932705248991e-05
"AK","Government","2017",24,"Alaska",741,12303,196,0.264507422402159,2.5,16.5942,7.0591,0.4828,26.3333,3.6649,8.8083,9.2576,"2016",12.303,0.741,27.1402,3.8598,9.7238,9.115,7.2969,16.6644,1.4914,1.54055,2.2623,0.8188,3.23886639676113e-05
"AK","Government","2018",28,"Alaska",737,12695,209,0.283582089552239,2.3839,17.5117,7.4148,0.5722,25.2012,3.534,8.8029,9.756,"2017",12.695,0.737,26.3333,3.6649,9.2576,8.8083,7.0591,16.5942,1.47805,1.4914,2.5,0.4828,3.79918588873813e-05
"AK","Government","2019",28,"Alaska",734,13226,217,0.295640326975477,2.2258,18.2042,7.652,0.5955,27.0467,3.52,9.3623,10.2311,"2018",13.226,0.734,25.2012,3.534,9.756,8.8029,7.4148,17.5117,1.41065,1.47805,2.3839,0.5722,3.81471389645777e-05
"AL","Government","2015",14,"Alabama",4855,7657,1034,0.2129763130793,1.3091,5.3685,4.8974,0.2879,NA,NA,NA,NA,"2014",7.657,4.855,NA,NA,NA,NA,6.0645,5.6292,0.7985,0.76845,1.3092,0.2277,2.88362512873326e-06
"AL","Government","2016",13,"Alabama",4867,7968,1048,0.215327717279638,1.2979,5.2544,4.4158,0.3462,22.9338,3.4731,6.1087,6.6026,"2015",7.968,4.867,NA,NA,NA,NA,4.8974,5.3685,0.82205,0.7985,1.3091,0.2879,2.67104992808712e-06
"AL","Government","2017",12,"Alabama",4878,8154,1035,0.212177121771218,1.7527,6.4844,4.81,0.3293,23.1306,3.5062,6.3644,6.8599,"2016",8.154,4.878,22.9338,3.4731,6.6026,6.1087,4.4158,5.2544,1.041,0.82205,1.2979,0.3462,2.460024600246e-06
"AL","Government","2018",14,"Alabama",4892,8343,1030,0.210547833197056,1.8254,8.5262,4.9973,0.3568,24.7695,3.5671,6.7821,7.4609,"2017",8.343,4.892,23.1306,3.5062,6.8599,6.3644,4.81,6.4844,1.0911,1.041,1.7527,0.3293,2.86181520850368e-06
"AL","Government","2019",15,"Alabama",4908,8741,1046,0.213121434392828,1.9298,8.9607,5.7144,0.2964,25.7251,3.4432,7.1489,7.889,"2018",8.741,4.908,24.7695,3.5671,7.4609,6.7821,4.9973,8.5262,1.1131,1.0911,1.8254,0.3568,3.05623471882641e-06
"AR","Government","2015",5,"Arkansas",2980,7620,974,0.326845637583893,1.1311,7.2504,5.1063,0.1753,NA,NA,NA,NA,"2014",7.62,2.98,NA,NA,NA,NA,5.5113,6.754,0.6532,0.59335,0.9845,0.2022,1.67785234899329e-06
"AR","Government","2016",6,"Arkansas",2992,8079,932,0.311497326203209,1.3119,7.1321,5.2777,0.2163,21.9081,3.3066,6.2597,6.941,"2015",8.079,2.992,NA,NA,NA,NA,5.1063,7.2504,0.7641,0.6532,1.1311,0.1753,2.00534759358289e-06
"AR","Government","2017",6,"Arkansas",3004,8409,956,0.318242343541944,1.5834,8.4446,5.7279,0.2664,21.0637,3.7105,6.8451,7.719,"2016",8.409,3.004,21.9081,3.3066,6.941,6.2597,5.2777,7.1321,0.9249,0.7641,1.3119,0.2163,1.99733688415446e-06
"AR","Government","2018",6,"Arkansas",3012,8545,910,0.302124833997344,1.4938,8.9102,5.6511,0.2581,21.5368,3.7241,7.1127,8.0178,"2017",8.545,3.012,21.0637,3.7105,7.719,6.8451,5.7279,8.4446,0.87595,0.9249,1.5834,0.2664,1.99203187250996e-06
"AR","Government","2019",7,"Arkansas",3021,8853,837,0.277060575968222,1.1926,8.7341,5.2442,0.2349,22.8703,2.9804,6.5367,7.1638,"2018",8.853,3.021,21.5368,3.7241,8.0178,7.1127,5.6511,8.9102,0.71375,0.87595,1.4938,0.2581,2.31711353856339e-06
"AZ","Government","2015",35,"Arizona",6833,6885,1590,0.232694277769647,2.4404,8.5918,7.0632,0.5893,NA,NA,NA,NA,"2014",6.885,6.833,NA,NA,NA,NA,8.0634,8.8497,1.51485,1.35935,2.3836,0.3351,5.12220108297966e-06
"AZ","Government","2016",35,"Arizona",6945,7189,1736,0.24996400287977,2.2014,7.4881,5.6647,0.4973,24.4929,4.045,7.5198,7.7819,"2015",7.189,6.945,NA,NA,NA,NA,7.0632,8.5918,1.34935,1.51485,2.4404,0.5893,5.03959683225342e-06
"AZ","Government","2017",32,"Arizona",7048,7539,1775,0.251844494892168,2.2656,8.5933,5.8779,0.3804,25.0442,3.577,7.4089,7.7291,"2016",7.539,7.048,24.4929,4.045,7.7819,7.5198,5.6647,7.4881,1.323,1.34935,2.2014,0.4973,4.54029511918275e-06
"AZ","Government","2018",30,"Arizona",7164,7816,1700,0.237297599106644,2.1175,11.4082,5.7039,0.273,24.9064,3.1906,6.9557,7.3594,"2017",7.816,7.164,25.0442,3.577,7.7291,7.4089,5.8779,8.5933,1.19525,1.323,2.2656,0.3804,4.18760469011725e-06
"AZ","Government","2019",30,"Arizona",7292,8145,1705,0.233817882611081,1.9538,11.514,5.1012,0.3952,23.1032,3.5299,6.8102,7.1089,"2018",8.145,7.292,24.9064,3.1906,7.3594,6.9557,5.7039,11.4082,1.1745,1.19525,2.1175,0.273,4.11409764125069e-06
"CA","Government","2015",175,"California",38904,7998,11493,0.29541949413942,2.2846,9.8151,6.9505,0.2102,NA,NA,NA,NA,"2014",7.998,38.904,NA,NA,NA,NA,7.0675,9.2534,1.2474,1.2366,2.2689,0.2043,4.49825210775242e-06
"CA","Government","2016",174,"California",39149,8325,10883,0.277989220669749,2.5931,10.8367,6.8181,0.2576,25.9142,4.1248,8.396,8.7974,"2015",8.325,39.149,NA,NA,NA,NA,6.9505,9.8151,1.42535,1.2474,2.2846,0.2102,4.4445579708294e-06
"CA","Government","2017",169,"California",39338,8594,10920,0.277594183740912,2.9118,11.782,5.8678,0.1988,25.4391,3.9614,7.4114,7.7753,"2016",8.594,39.338,25.9142,4.1248,8.7974,8.396,6.8181,10.8367,1.5553,1.42535,2.5931,0.2576,4.29610046265697e-06
"CA","Government","2018",196,"California",39437,9069,11232,0.284808682201993,3.0363,12.4628,6.302,0.1999,26.49,3.6245,7.7916,8.117,"2017",9.069,39.437,25.4391,3.9614,7.7753,7.4114,5.8678,11.782,1.6181,1.5553,2.9118,0.1988,4.96995207546213e-06
"CA","Government","2019",209,"California",39438,9628,10912,0.276687458796085,2.9699,13.9293,6.7281,0.245,25.2396,4.163,8.7621,9.2301,"2018",9.628,39.438,26.49,3.6245,8.117,7.7916,6.302,12.4628,1.60745,1.6181,3.0363,0.1999,5.29945737613469e-06
"CO","Government","2015",24,"Colorado",5454,7075,1033,0.189402273560689,2.9342,17.1216,7.911,0.4102,NA,NA,NA,NA,"2014",7.075,5.454,NA,NA,NA,NA,7.9271,15.1701,1.6722,1.52155,2.7383,0.3048,4.4004400440044e-06
"CO","Government","2016",23,"Colorado",5544,7323,1133,0.204365079365079,2.5608,16.6168,6.7942,0.383,28.6228,3.8765,8.5481,8.6726,"2015",7.323,5.544,NA,NA,NA,NA,7.911,17.1216,1.4719,1.6722,2.9342,0.4102,4.14862914862915e-06
