"State_Abbrev","profit_type","year","count_tx","State_Name","pop_thousands","percapita_health_spending","medicaid_enrollment","medicaid_enroll_percapita","cocaine_yr","marijuana_month","aud_yr","heroin_yr","binge_drinking","illicit_druguse","needing_tx","sud","start_year","percapita_health_spending_thousands","pop_millions","prev2years_bingedrinking","prev2years_druguse","prev2years_sud","prev2years_needingtx","prev2years_aud","prev2years_marijuana","druguse_calc","prev2years_drugusecalc","prev2years_cocaine","prev2years_heroin","tx_percapita","Gender_Female","Gender_Male","Ethnicity_HispanicorLatino","Ethnicity_NotHispanicorLatino","Race_AmericanIndianorAlaskaNative","Race_Asian","Race_BlackorAfricanAmerican","Race_Morethanonerace","Race_NativeHawaiianorOtherPacificIslander","Race_White","Insurance_Employer","Insurance_Non.Group","Insurance_Medicaid","Insurance_Medicare","Insurance_Military","Insurance_Uninsured","Insurance_Total","Population","Unemployment","Income"
"AK","Nonprofit","2015",54,"Alaska",738,11460,127,0.172086720867209,2.1469,14.7986,7.9877,1.361,NA,NA,NA,NA,"2014",11.46,0.738,NA,NA,NA,NA,7.2493,12.1601,1.75395,1.2113,1.6532,0.7694,7.31707317073171e-05,47.3818581113687,52.6181418886313,5.61395905300747,94.3860409469925,13.5070809561704,6.01421472132336,3.68060398908129,4.84313000661023,1.05144505407458,70.9035252727402,47.6,5,19.8,7.5,5.6,14.5,100,738.43,6.3,90920
"AK","Nonprofit","2016",56,"Alaska",743,11761,167,0.224764468371467,2.2623,16.6644,7.2969,0.8188,27.1402,3.8598,9.115,9.7238,"2015",11.761,0.743,NA,NA,NA,NA,7.9877,14.7986,1.54055,1.75395,2.1469,1.361,7.53701211305518e-05,47.3818581113687,52.6181418886313,5.61395905300747,94.3860409469925,13.5070809561704,6.01421472132336,3.68060398908129,4.84313000661023,1.05144505407458,70.9035252727402,47,4.5,19.3,8,6.7,14.5,100,742.575,6.6,90860
"AK","Nonprofit","2017",53,"Alaska",741,12303,196,0.264507422402159,2.5,16.5942,7.0591,0.4828,26.3333,3.6649,8.8083,9.2576,"2016",12.303,0.741,27.1402,3.8598,9.7238,9.115,7.2969,16.6644,1.4914,1.54055,2.2623,0.8188,7.15249662618084e-05,47.3818581113687,52.6181418886313,5.61395905300747,94.3860409469925,13.5070809561704,6.01421472132336,3.68060398908129,4.84313000661023,1.05144505407458,70.9035252727402,45.2,3.2,22,8.9,6.8,13.9,100,740.983,6.5,91960
"AK","Nonprofit","2018",53,"Alaska",737,12695,209,0.283582089552239,2.3839,17.5117,7.4148,0.5722,25.2012,3.534,8.8029,9.756,"2017",12.695,0.737,26.3333,3.6649,9.2576,8.8083,7.0591,16.5942,1.47805,1.4914,2.5,0.4828,7.19131614654003e-05,47.3818581113687,52.6181418886313,5.61395905300747,94.3860409469925,13.5070809561704,6.01421472132336,3.68060398908129,4.84313000661023,1.05144505407458,70.9035252727402,48.1,3.7,21.3,9.4,5.4,12,100,736.624,6,79450
"AK","Nonprofit","2019",52,"Alaska",734,13226,217,0.295640326975477,2.2258,18.2042,7.652,0.5955,27.0467,3.52,9.3623,10.2311,"2018",13.226,0.734,25.2012,3.534,9.756,8.8029,7.4148,17.5117,1.41065,1.47805,2.3839,0.5722,7.08446866485014e-05,47.541493344614,52.458506655386,6.40572997734837,93.5942700226516,13.9617579691988,6.79115121998839,3.75460309023955,5.41849479627089,1.31046838081499,68.7635245434873,48.4,3.5,21.3,10,5.3,11.5,100,733.603,5.6,89290
"AL","Nonprofit","2015",88,"Alabama",4855,7657,1034,0.2129763130793,1.3091,5.3685,4.8974,0.2879,NA,NA,NA,NA,"2014",7.657,4.855,NA,NA,NA,NA,6.0645,5.6292,0.7985,0.76845,1.3092,0.2277,1.81256436663234e-05,52.2406064094564,47.7593935905436,3.20733482850412,96.7926651714959,0.671859456095347,1.29236608359305,25.5579346435157,1.03412396803925,0.0905594099288585,71.3531564388278,46.6,6.1,20.1,15,2.1,10.2,100,4854.803,6.1,53880
"AL","Nonprofit","2016",81,"Alabama",4867,7968,1048,0.215327717279638,1.2979,5.2544,4.4158,0.3462,22.9338,3.4731,6.1087,6.6026,"2015",7.968,4.867,NA,NA,NA,NA,4.8974,5.3685,0.82205,0.7985,1.3091,0.2879,1.66426957057736e-05,52.2406064094564,47.7593935905436,3.20733482850412,96.7926651714959,0.671859456095347,1.29236608359305,25.5579346435157,1.03412396803925,0.0905594099288585,71.3531564388278,46.9,6.7,20.1,15.1,2,9.2,100,4866.824,5.9,56660
"AL","Nonprofit","2017",77,"Alabama",4878,8154,1035,0.212177121771218,1.7527,6.4844,4.81,0.3293,23.1306,3.5062,6.3644,6.8599,"2016",8.154,4.878,22.9338,3.4731,6.6026,6.1087,4.4158,5.2544,1.041,0.82205,1.2979,0.3462,1.57851578515785e-05,52.2406064094564,47.7593935905436,3.20733482850412,96.7926651714959,0.671859456095347,1.29236608359305,25.5579346435157,1.03412396803925,0.0905594099288585,71.3531564388278,46,6.2,20.6,15.7,2,9.5,100,4877.989,4.5,59980
"AL","Nonprofit","2018",80,"Alabama",4892,8343,1030,0.210547833197056,1.8254,8.5262,4.9973,0.3568,24.7695,3.5671,6.7821,7.4609,"2017",8.343,4.892,23.1306,3.5062,6.8599,6.3644,4.81,6.4844,1.0911,1.041,1.7527,0.3293,1.63532297628782e-05,52.2406064094564,47.7593935905436,3.20733482850412,96.7926651714959,0.671859456095347,1.29236608359305,25.5579346435157,1.03412396803925,0.0905594099288585,71.3531564388278,47,5.4,19.5,15.9,2,10.2,100,4891.628,3.9,57720
"AL","Nonprofit","2019",86,"Alabama",4908,8741,1046,0.213121434392828,1.9298,8.9607,5.7144,0.2964,25.7251,3.4432,7.1489,7.889,"2018",8.741,4.908,24.7695,3.5671,7.4609,6.7821,4.9973,8.5262,1.1131,1.0911,1.8254,0.3568,1.75224123879381e-05,52.4199329813958,47.5800670186042,3.49907494636365,96.5009250536364,0.71702784691606,1.4987020971199,26.0550926650814,1.20427163743134,0.0957782678115373,70.4291274856398,47.2,5.5,19.5,16,2.1,9.7,100,4907.965,3.2,64010
